AirportCode,Name,StateCode
10001,"Afognak Lake, AK: Afognak Lake Airport",AK
10003,"Granite Mountain, AK: Bear Creek Mining Strip",AK
10004,"Lik, AK: Lik Mining Camp",AK
10005,"Little Squaw, AK: Little Squaw Airport",AK
10006,"Kizhuyak, AK: Kizhuyak Bay",AK
10007,"Klawock, AK: Klawock Seaplane Base",AK
10008,"Elizabeth Island, AK: Elizabeth Island Airport",AK
10009,"Homer, AK: Augustin Island",AK
10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake",AK
10015,"Deadmans Bay, AK: Deadmans Bay Airport",AK
10016,"Hallo Bay, AK: Hallo Bay Airport",AK
10017,"Red Lake, AK: Red Lake Airport",AK
10018,"Shell Lake, AK: Shell Lake Airport",AK
10019,"Kougarok, AK: Navigator Airstrip",AK
10020,"Selawik, AK: Roland Norton Memorial",AK
10021,"Pillar Bay, AK: Pillar Bay Airport",AK
10022,"Johnstone Point, AK: Johnstone Point Airport",AK
10023,"Tikchik Lodge, AK: Tikchik Lodge Airport",AK
10024,"Bell Creek, AK: Bell Creek Airport",AK
10025,"Cinnabar, AK: Cinnabar Airport",AK
10026,"Mountaintop Mine, AK: Mountaintop Mine Airport",AK
10027,"Whitebear, AK: Whitebear Airport",AK
10028,"Puviaq, AK: Puviaq Airport",AK
10029,"Arley Lake, AK: Arley Lake Airport",AK
10030,"Port Vita, AK: Port Vita Airport",AK
10031,"Kantishna, AK: Kantishna Airport",AK
10033,"Alpine, AK: Alpine Airstrip",AK
10034,"Serpentine, AK: Serpentine Airport",AK
10035,"Driftwood Bay, AK: Driftwood Bay Airport",AK
10036,"Bradley Lake, AK: Bradley Lake Airport",AK
10037,"Chilkat Lake, AK: Chilkat Lake Airport",AK
10038,"Nugget Creek, AK: Nugget Creek Airport",AK
10039,"Ivotuk, AK: Ivotuk Airstrip",AK
10040,"Pogo Mines, AK: Pogo Mines Airport",AK
10041,"Ayakulik River, AK: Ayakulik River Airport",AK
10042,"Kiluda Bay, AK: Kiluda Bay Airport",AK
10043,"Terror Lake, AK: Terror Lake Airport",AK
10044,"Selief Bay, AK: Selief Bay Airport",AK
10047,"Laura Lake, AK: Laura Lake Airport",AK
10049,"Deep Bay, AK: Deep Bay Airport",AK
10050,"Kako, AK: Kako Airport",AK
10051,"Molly Creek, AK: Molly Creek Airport",AK
10052,"Ptarmigan Lake, AK: Ptarmigan Lake Airport",AK
10053,"Cape Simpson, AK: Cape Simpson Airport",AK
10054,"Kogru River, AK: Kogru River Airport",AK
10055,"Teshepkuk Lake, AK: Teshepkuk Lake Airport",AK
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",AK
10058,"Lake Florence, AK: Lake Florence Airport",AK
10059,"Lake Hasselborg, AK: Lake Hasselborg Airport",AK
10060,"Distin Lake, AK: Distin Lake Airport",AK
10061,"Port Hobron, AK: Port Hobron Airport",AK
10062,"Mooseville Airstrip, AK: Mooseville Airstrip Airport",AK
10063,"Big Bay, AK: Big Bay Airport",AK
10064,"Wien Lake, AK: Wien Lake Airport",AK
10065,"Silver Salmon Creek, AK: Silver Salmon Creek Airport",AK
10066,"Blear Lake, AK: Blear Lake Airport",AK
10067,"Cannery Bay, AK: Cannery Bay Airport",AK
10069,"Bear Lake, AK: Johnsons Landing",AK
10070,"International Seafoods, AK: International Seafoods Airport",AK
10071,"Cosna River, AK: Cosna River Airport",AK
10072,"Ivatuk, AK: Ivatuk Airport",AK
10074,"Cape Sarichef, AK: Cape Sarichef Airport",AK
10075,"Taylor Mountain Mine, AK: Taylor Mountain",AK
10076,"Yukon Charley Rivvers, AK: Coal Creek",AK
10078,"Karluk Portage, AK: Karluk Portage Airport",AK
10079,"Hope, AK: Hope Airport",AK
10080,"Viekoda Bay, AK: Viekoda Bay Airport",AK
10082,"Cold Bay, AK: Cathedral Strip",AK
10083,"Village Islands, AK: Village Islands Airport",AK
10084,"Homer, AK: Bear Cove Farm",AK
10085,"Chinitna Bay, AK: Chinitna Bay Airport",AK
10086,"McKinley Park, AK: McKinley National Park",AK
10087,"Nanwalek, AK: Dog Fish Bay",AK
